Date,Volume,Open,Close,High,Low
2020-07-21 04:00:00,43442967.0,268.41,264.0,268.41,263.125
2020-07-22 04:00:00,29828019.0,264.46,264.93,265.89,262.55
2020-07-23 04:00:00,51363538.0,264.55,258.01,265.24,256.55
2020-07-24 04:00:00,53809136.0,254.12,255.56,256.93,251.32
2020-07-27 04:00:00,36411741.0,257.36,260.12,260.52,256.445
2020-07-28 04:00:00,31302390.0,259.33,256.81,259.85,256.51
2020-07-29 04:00:00,27547134.0,258.33,259.77,260.66,257.91
2020-07-30 04:00:00,41732456.0,257.78,261.13,261.71,256.55
2020-07-31 04:00:00,53729159.0,265.83,265.79,265.95,260.85
2020-08-03 04:00:00,32081566.0,268.05,269.38,270.15,267.87
2020-08-04 04:00:00,24911286.0,268.74,270.38,270.48,268.09
2020-08-05 04:00:00,21685921.0,270.83,271.05,271.52,269.96
2020-08-06 04:00:00,27969824.0,270.78,274.64,274.98,270.19
2020-08-07 04:00:00,44771356.0,274.04,271.47,274.8818,269.245
2020-08-10 04:00:00,35080373.0,271.74,270.31,271.98,266.67
2020-08-11 04:00:00,43104323.0,269.1,265.19,270.44,264.63
2020-08-12 04:00:00,38864622.0,267.37,271.86,272.84,267.37
2020-08-13 04:00:00,31275717.0,272.64,272.48,274.83,271.51
2020-08-14 04:00:00,30799494.0,273.01,272.16,273.4,270.72
2020-08-17 04:00:00,24714916.0,273.91,275.32,275.84,273.74
2020-08-18 04:00:00,23529498.0,276.41,277.97,278.465,274.91
2020-08-19 04:00:00,31999359.0,277.93,276.1,279.02,275.57
2020-08-20 04:00:00,27696379.0,275.3,279.93,280.43,274.86
2020-08-21 04:00:00,34748934.0,280.07,281.87,282.34,279.461
2020-08-24 04:00:00,36374533.0,285.06,283.63,286.0,281.27
2020-08-25 04:00:00,33970586.0,282.78,285.86,286.06,282.37
2020-08-26 04:00:00,42158440.0,287.11,291.96,292.22,286.965
2020-08-27 04:00:00,49379715.0,293.08,291.05,293.851,288.705
2020-08-28 04:00:00,28000877.0,292.27,292.53,293.18,290.93
2020-08-31 04:00:00,36282027.0,293.16,294.88,296.745,292.62
2020-09-01 04:00:00,36195774.0,297.6,299.92,300.04,295.79
2020-09-02 04:00:00,50701607.0,303.26,302.76,303.5,296.89
2020-09-03 04:00:00,109862282.0,298.2,287.41,298.62,284.41
2020-09-04 04:00:00,123915628.0,285.76,283.58,288.93,271.8
2020-09-08 04:00:00,98977838.0,272.27,269.95,278.22,269.66
2020-09-09 04:00:00,64499622.0,275.54,277.88,280.045,273.0
2020-09-10 04:00:00,69663462.0,280.97,272.34,282.195,270.56
2020-09-11 04:00:00,71604814.0,274.33,270.45,275.22,266.9
2020-09-14 04:00:00,38244594.0,274.28,275.16,277.22,272.96
2020-09-15 04:00:00,41834926.0,278.9,279.06,280.45,277.26
2020-09-16 04:00:00,42435626.0,279.77,274.61,280.36,274.25
2020-09-17 04:00:00,81570844.0,267.52,270.32,274.3955,266.68
2020-09-18 04:00:00,85977117.0,271.62,266.87,272.09,262.63
2020-09-21 04:00:00,57140670.0,262.52,267.51,267.65,260.11
2020-09-22 04:00:00,40977686.0,270.05,272.48,273.08,266.54
2020-09-23 04:00:00,48728270.0,272.15,264.16,272.34,263.2502
2020-09-24 04:00:00,70631704.0,261.58,265.39,268.7,261.22
2020-09-25 04:00:00,55168476.0,265.82,271.56,272.395,264.2999
2020-09-28 04:00:00,58422386.0,276.615,277.2,277.2,273.8548
2020-09-29 04:00:00,27154921.0,276.72,275.95,277.71,275.3719
2020-09-30 04:00:00,49341327.0,276.09,277.84,281.09,275.88
2020-10-01 04:00:00,49873973.0,281.79,282.25,282.8794,279.84
2020-10-02 04:00:00,75233891.0,276.01,274.31,282.2412,273.44
2020-10-05 04:00:00,28141581.0,276.34,280.16,280.49,276.23
2020-10-06 04:00:00,49700295.0,279.29,275.16,281.19,274.25
2020-10-07 04:00:00,27339663.0,277.83,279.92,280.74,277.28
2020-10-08 04:00:00,25443287.0,282.32,281.41,282.47,280.31
2020-10-09 04:00:00,30201144.0,283.09,285.71,285.79,282.71
2020-10-12 04:00:00,79248257.0,290.6,294.53,297.46,289.47
2020-10-13 04:00:00,64210531.0,296.34,294.52,297.0496,293.11
2020-10-14 04:00:00,37036227.0,295.32,292.06,296.35,290.26
2020-10-15 04:00:00,42391677.0,287.25,290.1,290.71,286.54
2020-10-16 04:00:00,40470702.0,291.8,288.51,293.269,288.15
2020-10-19 04:00:00,36596654.0,290.49,283.8,291.48,282.79
2020-10-20 04:00:00,32195361.0,284.56,284.41,287.62,282.95
2020-10-21 04:00:00,29266687.0,284.67,284.19,287.32,283.69
2020-10-22 04:00:00,32108162.0,285.05,284.18,285.98,280.82
2020-10-23 04:00:00,24503342.0,284.79,284.74,284.91,281.7818
2020-10-26 04:00:00,38410694.0,282.32,280.47,285.3,276.76
2020-10-27 04:00:00,30548123.0,281.42,282.66,283.505,280.2
2020-10-28 04:00:00,53387523.0,278.13,271.64,278.6401,271.38
2020-10-29 04:00:00,43169802.0,273.04,276.39,279.49,272.52
2020-10-30 04:00:00,65914893.0,274.375,269.38,275.24,267.07
2020-11-02 05:00:00,39987409.0,271.73,269.98,273.52,266.97
2020-11-03 05:00:00,43489554.0,271.86,274.65,276.82,270.84
2020-11-04 05:00:00,75718806.0,283.56,286.91,288.77,281.87
2020-11-05 05:00:00,50654186.0,293.41,294.39,295.39,292.0
2020-11-06 05:00:00,40948264.0,293.58,294.61,295.36,289.83
2020-11-09 05:00:00,86537071.0,297.31,288.59,299.14,288.12
2020-11-10 05:00:00,68499878.0,285.26,283.42,286.6599,280.62
2020-11-11 05:00:00,36102931.0,285.92,289.76,290.25,285.53
2020-11-12 05:00:00,34516826.0,290.72,288.4,292.074,287.25
2020-11-13 05:00:00,24880582.0,290.01,290.93,291.57,287.8701
2020-11-16 05:00:00,29855761.0,290.68,293.2,293.51,289.99
2020-11-17 05:00:00,21832663.0,293.4,292.27,293.74,291.61
2020-11-18 05:00:00,28022969.0,291.7,290.11,293.37,290.02
2020-11-19 05:00:00,22718422.0,289.48,292.38,292.7,288.85
2020-11-20 05:00:00,25898908.0,292.3,290.38,293.065,290.29
2020-11-23 05:00:00,26871188.0,291.41,290.39,292.75,288.07
2020-11-24 05:00:00,24513991.0,291.49,294.47,294.98,289.63
2020-11-25 05:00:00,23292326.0,295.44,296.28,296.94,294.59
2020-11-27 05:00:00,17098115.0,298.29,299.01,300.17,297.9
2020-11-30 05:00:00,27031232.0,299.3,299.62,299.97,294.78
2020-12-01 05:00:00,27642640.0,301.87,303.46,305.14,300.83
2020-12-02 05:00:00,23620003.0,302.22,303.85,304.195,300.35
2020-12-03 05:00:00,22811227.0,304.07,304.28,305.88,303.531
2020-12-04 05:00:00,19331991.0,304.33,305.52,305.67,303.63
2020-12-07 05:00:00,20850969.0,305.71,307.25,307.63,305.52
2020-12-08 05:00:00,18341451.0,306.76,308.29,308.6,304.95
2020-12-09 05:00:00,48680806.0,308.07,301.31,308.36,300.21
2020-12-10 05:00:00,27516094.0,299.21,302.52,303.68,298.09
2020-12-11 05:00:00,26760416.0,300.81,301.85,301.98,298.47
2020-12-14 05:00:00,28674832.0,303.08,304.04,306.05,303.01
2020-12-15 05:00:00,25790455.0,306.37,307.29,307.29,304.11
2020-12-16 05:00:00,25423690.0,307.7,308.98,309.785,306.621
2020-12-17 05:00:00,23576324.0,310.63,311.0,311.24,309.39
2020-12-18 05:00:00,41165392.0,311.66,310.06,311.98,307.61
2020-12-21 05:00:00,37095480.0,306.46,308.92,309.47,303.6
2020-12-22 05:00:00,26078843.0,309.85,309.76,310.7105,306.845
2020-12-23 05:00:00,21201280.0,309.81,308.2,310.18,308.035
2020-12-24 05:00:00,16518997.0,308.47,309.56,310.02,308.39
2020-12-28 05:00:00,22438495.0,312.25,312.68,313.17,310.36
2020-12-29 05:00:00,25845325.0,314.05,312.96,314.685,312.03
2020-12-30 05:00:00,17955471.0,314.16,312.97,314.49,312.33
2020-12-31 05:00:00,21434812.0,312.87,313.74,314.24,311.76
2021-01-04 05:00:00,45119648.0,315.11,309.31,315.29,305.18
2021-01-05 05:00:00,29138809.0,308.29,311.86,312.14,308.29
2021-01-06 05:00:00,52773622.0,307.0,307.54,311.88,305.98
2021-01-07 05:00:00,30394826.0,310.28,314.98,315.84,310.25
2021-01-08 05:00:00,33955847.0,317.34,319.03,319.39,315.0814
2021-01-11 05:00:00,32858245.0,315.98,314.42,317.19,313.75
2021-01-12 05:00:00,29260762.0,314.46,313.92,315.58,311.2
2021-01-13 05:00:00,22877017.0,314.19,316.04,316.86,313.57
2021-01-14 05:00:00,23464379.0,316.5,314.35,317.53,313.8616
2021-01-15 05:00:00,34952718.0,314.13,311.86,315.12,310.58
2021-01-19 05:00:00,24537049.0,314.25,316.41,316.93,313.12
2021-01-20 05:00:00,30728096.0,320.14,323.77,324.74,319.77
2021-01-21 05:00:00,25228385.0,325.15,326.36,327.13,323.73
2021-01-22 05:00:00,21604194.0,325.29,325.42,326.46,324.71
2021-01-25 05:00:00,39067144.0,328.91,328.11,330.32,321.41
2021-01-26 05:00:00,25494362.0,328.85,328.59,329.76,327.22
2021-01-27 05:00:00,55263985.0,326.26,319.43,326.27,317.36
2021-01-28 05:00:00,42650274.0,320.67,321.32,326.42,320.03
2021-01-29 05:00:00,54914918.0,319.58,314.56,320.7193,312.76
2021-02-01 05:00:00,35374608.0,318.11,322.42,323.54,316.02
2021-02-02 05:00:00,33748749.0,325.48,327.68,328.87,325.31
2021-02-03 05:00:00,24777318.0,329.82,326.38,330.195,326.32
2021-02-04 05:00:00,22321847.0,327.82,330.24,330.33,326.46
2021-02-05 05:00:00,22666960.0,331.22,331.36,332.4025,329.53
2021-02-08 05:00:00,20439912.0,333.1,333.58,333.74,331.41
2021-02-09 05:00:00,17553978.0,332.62,333.51,334.81,332.61
2021-02-10 05:00:00,28033780.0,334.99,332.75,335.46,329.5
2021-02-11 05:00:00,22041071.0,334.33,334.58,335.0,332.12
2021-02-12 05:00:00,20303569.0,333.71,336.45,336.62,332.63
2021-02-16 05:00:00,27071777.0,337.27,335.54,338.19,334.34
2021-02-17 05:00:00,31447456.0,332.47,333.93,335.657,330.17
